ArpCode,lat,lon
AAA,17.35,145.5
AAB,26.75,141
AAC,31.13333333,33.8
AAD,18.05,30.95
AAE,36.81666667,7.816666667
AAF,29.73333333,85.03333333
AAG,24.10055556,49.78444444
AAH,50.75,6.133333333
AAI,12.91666667,46.93333333
AAJ,3.9,55.36666667
AAK,0.216666667,174
AAL,57.10555556,9.985277778
AAM,24.8,31.53333333
AAN,24.26666667,55.6
AAO,9.416666667,64.46666667
AAP,29.71944444,95.58611111
AAQ,45,37.35
AAR,56.3,10.61666667
AAS,3.916666667,139.25
AAT,47.72222222,88.15194444
AAU,13.45833333,172.6
AAV,6.333333333,124.7666667
AAW,34.2,73.25
AAX,19.56805556,46.92916667
AAY,16.2,52.18333333
ABA,53.71666667,91.43333333
ABB,51.68333333,1.316666667
ABD,30.36666667,48.23333333
ABE,40.65,75.43333333
ABF,1.416666667,172.8333333
ABG,17.66666667,143.2
ABH,23.7,146.5833333
ABI,32.41666667,99.68333333
ABJ,5.25,3.933333333
ABK,6.733333333,44.26666667
ABL,67.1,157.8166667
ABM,10.86666667,142.4
ABN,5.483333333,54.05
ABO,5.466666667,3.2
ABP,6.066666667,141.1
ABQ,35.05,106.6
ABR,45.45,98.43333333
ABS,22.36666667,31.61666667
ABT,20.3,41.63333333
ABU,9.333333333,124.9
ABV,9,7.266666667
ABW,10.16666667,148.7
ABX,36.06666667,146.95
ABY,31.53333333,84.2
ABZ,57.2,2.2
ACA,16.75,99.75
ACB,44.98333333,85.20277778
ACC,5.6,0.166666667
ACD,8.516666667,77.3
ACE,28.95,13.6
ACH,47.48388889,9.552222222
ACI,49.7,2.216666667
ACK,41.26666667,70.06666667
ACL,4.75,73
ACM,2.133333333,71.78333333
ACN,29.3,100.9166667
ACO,46.15944444,8.766666667
ACR,0.383333333,72.3
ACS,56.26666667,90.56666667
ACT,31.61666667,97.23333333
ACU,8.433333333,77.96666667
ACV,40.98333333,124.1
ACX,25.08666667,104.9591667
ACY,39.46666667,74.58333333
ADA,36.98333333,35.28333333
ADB,38.3,27.16944444
ADD,8.983333333,38.8
ADE,12.83333333,45.03333333
ADF,37.725,38.45833333
ADG,41.9,84.03333333
ADH,58.6,125.4
ADI,22.4,15
ADJ,31.96944444,35.98611111
ADK,51.86666667,176.65
ADL,34.95,138.5333333
ADM,34.3,97.01666667
ADN,5.666666667,75.88333333
ADO,31.01666667,137.15
ADP,8.3,80.41666667
ADQ,57.75,152.4833333
ADR,33.45,79.56666667
ADS,32.96944444,96.83888889
ADT,34.8,96.66666667
ADU,38.25,48.3
ADV,51.21666667,1.466666667
ADW,38.8,76.91666667
ADX,56.36666667,2.866666667
ADY,22.66666667,29.1
ADZ,12.58333333,81.7
AEA,0.483333333,173.85
AEB,23.71972222,106.9594444
AEG,1.383333333,99.45
AEH,13.85,20.85
AEK,7.366666667,146.2833333
AEL,43.68333333,93.36666667
AEO,16.7,9.65
AEP,34.575,58.37027778
AER,43.45,39.93333333
AES,62.5625,6.105277778
AET,66.55,152.65
AEX,31.31666667,92.51666667
AEY,65.65,18.08333333
AFA,34.58333333,68.4
AFD,33.58333333,26.88333333
AFF,39,104.75
AFI,6.916666667,75.06666667
AFL,9.8525,56.10083333
AFN,42.8,72
AFO,42.71666667,110.9333333
AFR,9.133333333,148.3833333
AFT,9.202777778,160.85
AFW,32.98333333,97.31666667
AFY,38.73333333,30.6
AGA,30.33333333,9.416666667
AGB,48.38333333,10.88333333
AGC,40.35,79.93333333
AGD,1.383333333,133.8666667
AGE,53.78333333,7.916666667
AGF,44.18333333,0.6
AGG,4.066666667,144.1
AGH,56.28333333,12.83333333
AGI,5.766666667,56.68333333
AGJ,26.58333333,127.25
AGK,6.333333333,143.8333333
AGL,9.333333333,149.15
AGM,65.66666667,37.66666667
AGN,57.5,134.5833333
AGO,33.23333333,93.21666667
AGP,36.66666667,4.5
AGQ,38.6,21.38333333
AGR,27.15,77.96666667
AGS,33.36666667,81.96666667
AGT,25.51666667,54.52833333
AGU,21.71666667,102.3333333
AGV,9.55,69.23333333
AGW,12.15,142.15
AGX,10.83333333,72.2
AGY,16.35,128.75
AGZ,29.05,18.85
AHA,26.2,127.65
AHB,18.23333333,42.65
AHC,40.15,120.1333333
AHD,34.16666667,97.13333333
AHE,14.41138889,146.2569444
AHF,40.33333333,99.9
AHH,45.28333333,92.36666667
AHI,3.333333333,128.9166667
AHJ,28,28
AHL,2.483333333,59.31666667
AHN,33.95,83.33333333
AHO,40.63333333,8.283333333
AHS,15.44166667,84.425
AHT,51.5,179
AHU,35.18333333,3.833333333
AHY,20.01666667,45.53333333
AHZ,45.08333333,6.083333333
AIA,42.06666667,102.8
AIB,56.23333333,132.3833333
AIC,7.1,171.2333333
AID,40.1,85.66666667
AIE,5.133333333,144.7333333
AIF,22.66666667,50.41666667
AIG,6.516666667,23.25
AII,11.15,42.71666667
AIK,33.65,81.68333333
AIL,9.233333333,78.01666667
AIM,10.2,169.9833333
AIN,70.63333333,160.0333333
AIO,41.4,95.01666667
AIP,7.266666667,168.8166667
AIR,10.25,59.38333333
AIS,2.633333333,176.8166667
AIT,18.85,159.75
AIU,20.03333333,158.1
AIV,33.1,88.2
AIW,27.98333333,17.58333333
AIY,39.36666667,74.45
AIZ,38.1,92.55
AJA,41.91666667,8.8
AJF,29.93333333,40.2
AJI,39.65,43.025
AJJ,19.73333333,14.38333333
AJL,23.73333333,92.71666667
AJN,12.13333333,44.43333333
AJO,15.71666667,44.25
AJR,65.59138889,19.28555556
AJS,26.73333333,113.5833333
AJU,10.98333333,37.07416667
AJY,16.96666667,7.983333333
AKA,32.5,109.0083333
AKB,52.2,174.2
AKC,41.04,81.46777778
AKD,20.66666667,77.08333333
AKE,1.172222222,13.91666667
AKF,24.2,23.31666667
AKG,3.583333333,142.25
AKI,60.9,161.2333333
AKJ,43.8,142.3333333
AKK,56.95,154.1666667
AKL,37.01666667,174.7833333
AKM,10.88333333,19.81666667
AKN,58.68333333,156.65
AKO,40.16666667,103.2166667
AKP,68.13333333,151.7333333
AKQ,4.616666667,105.2333333
AKR,7.25,5.2
AKS,8.7,160.675
AKT,34.58333333,32.96666667
AKU,41.66666667,80.66666667
AKV,60.73333333,78.58333333
AKX,50.25,57.21666667
AKY,20.11666667,92.86666667
ALA,43.35,77.03333333
ALB,42.74833333,73.80333333
ALC,38.28333333,0.55
ALD,11.7,69.35
ALE,30.38611111,103.6833333
ALF,69.98333333,23.36666667
ALG,36.7,3.216666667
ALH,34.95,117.8
ALI,27.73333333,98.01666667
ALJ,28.56666667,16.53333333
ALK,7.966666667,39.11666667
ALL,44.03333333,8.116666667
ALM,32.83333333,106
ALN,38.89166667,90.17222222
ALO,42.55,92.38333333
ALP,36.18333333,37.23333333
ALQ,29.8,55.73333333
ALR,45.21666667,169.3666667
ALS,37.43333333,105.8666667
ALT,1.938888889,54.74722222
ALU,11.88333333,50.66666667
ALV,42.51666667,1.533333333
ALW,46.1,118.3
ALX,32.93333333,85.95
ALY,31.18333333,29.95
ALZ,56.89583333,154.2458333
AMA,35.22,101.7066667
AMB,13.18333333,48.98333333
AMC,11.03333333,20.28333333
AMD,23.06666667,72.63333333
AME,15.65,37.68333333
AMF,4.166666667,141.6666667
AMG,4.6,143.5
AMH,6.066666667,37.66666667
AMI,8.566666667,116.1
AMJ,16.18333333,40.68333333
AMK,37.15277778,107.7527778
AML,8.3,82.86666667
AMM,31.71666667,36
AMN,43.38333333,84.65
AMO,14.11666667,15.31666667
AMP,24.7,44.73333333
AMQ,3.7,128.0833333
AMR,7.083333333,171.6833333
AMS,52.3,4.766666667
AMT,26.2,131.1166667
AMU,3.516666667,141.25
AMV,69.76666667,61.55
AMW,42,93.61666667
AMX,21.74,135.24
AMY,17.68333333,45.66666667
AMZ,37.03333333,174.9694444
ANA,33.81666667,117.9333333
ANB,33.58333333,85.85
ANC,61.16666667,149.9833333
AND,34.5,82.71666667
ANE,47.5,0.566666667
ANF,23.43944444,70.44277778
ANG,45.73333333,0.216666667
ANH,8.983333333,160.5
ANI,61.58333333,159.5333333
ANJ,2.85,13.83333333
ANK,39.93333333,32.86666667
ANL,11.5,16.75
ANM,15,50.33333333
ANN,55.03333333,131.5666667
ANO,16.16666667,39.93333333
ANP,38.98333333,76.5
ANQ,41.63333333,85
ANR,51.18333333,4.466666667
ANS,13.65,73.41666667
ANT,47.15,10.28333333
ANU,17.13333333,61.78333333
ANV,62.65,160.2166667
ANW,42.58333333,99.98333333
ANX,69.31666667,16.11666667
ANY,37.15,98.03333333
ANZ,25.08333333,132.1666667
AOA,9.033333333,146.75
AOB,4.916666667,144.6666667
AOC,50.98333333,12.45
AOD,11.46666667,19.28333333
AOG,41.16666667,123.0333333
AOH,40.71666667,84.03333333
AOI,43.61666667,13.36666667
AOJ,40.73333333,140.7
AOK,35.41666667,27.15
AOL,29.68333333,57.15
AON,6.25,145.9666667
AOO,40.3,78.31666667
AOR,6.2,100.4166667
AOS,57.46666667,153.8333333
AOT,45.73861111,7.3625
AOU,14.8,106.8166667
APA,39.56666667,104.8333333
APB,14.71666667,68.5
APC,38.45,122.2166667
APE,15.35,75.16666667
APF,26.15,81.76666667
APG,39.51666667,76.16666667
APH,38.05,77.35
API,4.068888889,73.05194444
APK,15.08333333,145.3333333
APL,15.1,39.28333333
APN,45.08333333,83.55
APO,7.033333333,77.2
APP,8.983333333,148.1333333
APQ,9.75,36.65
APR,4.3,142.4333333
APS,16.33333333,48.96666667
APT,35.06666667,85.63333333
APU,23.55,51.48333333
APV,34.51666667,117.2166667
APW,13.81666667,172
APX,23.38333333,51.95
APY,9.1,45.96666667
APZ,38.91666667,70.08333333
AQA,21.78333333,48.16666667
AQG,30.51666667,117.0333333
AQI,28.31666667,46.11666667
AQJ,29.61666667,35.01666667
AQM,9.933333333,63.06666667
AQP,16.35,71.56666667
AQS,16.75,179.35
AQY,60.96666667,149.1166667
ARA,30.03333333,91.88333333
ARB,42.23333333,83.73333333
ARC,68.11666667,145.5833333
ARD,8.25,124.75
ARE,18.45,66.66666667
ARF,0.533333333,70.13333333
ARG,36.11666667,90.91666667
ARH,64.6,40.71666667
ARI,18.76666667,70.33333333
ARJ,2.933333333,140.7833333
ARK,3.366666667,36.63333333
ARL,11.58333333,1.25
ARM,30.53333333,151.6166667
ARN,59.6525,17.92194444
ARO,8.866666667,76.43333333
ARP,9.9,149.4666667
ARQ,7.036111111,71.44027778
ARR,45.16666667,71
ARS,15.91666667,52.25
ART,43.98333333,76.01666667
ARU,21.18333333,50.41666667
ARV,45.91666667,89.73333333
ARW,46.18333333,21.26666667
ARX,40.18333333,74.11666667
ARY,37.28333333,142.9333333
ARZ,7.233333333,12.9
ASA,13.05,42.65
ASB,37.98333333,58.35
ASC,15.71666667,63.06666667
ASD,24.7,77.8
ASE,39.21666667,106.8666667
ASF,46.28333333,48
ASG,43.9,171.7833333
ASH,42.78333333,71.51666667
ASI,7.966666667,14.4
ASJ,28.41666667,129.7
ASK,6.9,5.366666667
ASL,32.55,94.36666667
ASM,15.3,38.91666667
ASN,33.43333333,86.1
ASO,10.06666667,34.55
ASP,23.8,133.8833333
ASQ,39.5,117.0666667
ASR,38.78333333,35.33333333
AST,46.16666667,123.8833333
ASU,25.23333333,57.51666667
ASV,2.633333333,37.25
ASW,23.96666667,32.78333333
ASX,46.55,90.91666667
ASY,46.03333333,99.36666667
ASZ,5.866666667,150.3666667
ATA,13.48333333,72.13333333
ATB,17.71666667,34.05
ATC,24.66666667,75.75
ATD,8.866666667,161.0333333
ATE,34.23333333,95.61666667
ATF,1.2,78.56666667
ATG,33.9,72.25
ATH,37.93333333,23.94416667
ATI,30.41666667,56.51666667
ATJ,19.08333333,47.06666667
ATK,70.46666667,157.3333333
ATL,33.65166667,84.41833333
ATM,3.25,52.25
